time,x,y,H
0.292,0.7012,1254.98,11.1917
0.293,0.685003,1253.73,11.192
0.294,0.669197,1252.48,11.1923
0.295,0.653772,1251.24,11.1926
0.296,0.638719,1250,11.1928
0.297,0.624028,1248.75,11.1931
0.298,0.609691,1247.51,11.1934
0.299,0.595699,1246.27,11.1936
0.3,0.582042,1245.04,11.1939
0.301,0.568713,1243.8,11.1942
0.302,0.555703,1242.56,11.1944
0.303,0.543005,1241.32,11.1947
0.304,0.53061,1240.09,11.195
0.305,0.518511,1238.86,11.1952
0.306,0.506701,1237.62,11.1955
0.307,0.495172,1236.39,11.1958
0.308,0.483918,1235.16,11.196
0.309,0.472931,1233.93,11.1963
0.31,0.462206,1232.71,11.1965
0.311,0.451735,1231.48,11.1968
0.312,0.441512,1230.25,11.1971
0.313,0.431532,1229.03,11.1973
0.314,0.421788,1227.8,11.1976
0.315,0.412274,1226.58,11.1978
0.316,0.402985,1225.36,11.1981
0.317,0.393915,1224.14,11.1984
0.318,0.385058,1222.92,11.1986
0.319,0.37641,1221.7,11.1989
0.32,0.367966,1220.48,11.1991
0.321,0.35972,1219.27,11.1994
0.322,0.351668,1218.05,11.1996
0.323,0.343804,1216.84,11.1999
0.324,0.336124,1215.63,11.2002
0.325,0.328625,1214.42,11.2004
0.326,0.3213,1213.21,11.2007
0.327,0.314147,1212,11.2009
0.328,0.30716,1210.79,11.2012
0.329,0.300336,1209.58,11.2014
0.33,0.293671,1208.37,11.2017
0.331,0.287161,1207.17,11.2019
0.332,0.280803,1205.97,11.2022
0.333,0.274592,1204.76,11.2024
0.334,0.268524,1203.56,11.2027
0.335,0.262598,1202.36,11.2029
0.336,0.256808,1201.16,11.2032
0.337,0.251152,1199.96,11.2034
0.338,0.245627,1198.77,11.2037
0.339,0.240229,1197.57,11.2039
0.34,0.234956,1196.38,11.2041
0.341,0.229804,1195.18,11.2044
0.342,0.22477,1193.99,11.2046
0.343,0.219853,1192.8,11.2049
0.344,0.215047,1191.61,11.2051
0.345,0.210352,1190.42,11.2054
0.346,0.205765,1189.23,11.2056
0.347,0.201283,1188.05,11.2058
0.348,0.196902,1186.86,11.2061
0.349,0.192622,1185.68,11.2063
0.35,0.18844,1184.49,11.2066
0.351,0.184353,1183.31,11.2068
0.352,0.180358,1182.13,11.2071
0.353,0.176455,1180.95,11.2073
0.354,0.17264,1179.77,11.2075
0.355,0.168912,1178.59,11.2078
0.356,0.165268,1177.42,11.208
0.357,0.161707,1176.24,11.2082
0.358,0.158226,1175.07,11.2085
0.359,0.154824,1173.89,11.2087
0.36,0.151499,1172.72,11.2089
0.361,0.148249,1171.55,11.2092
0.362,0.145071,1170.38,11.2094
0.363,0.141966,1169.21,11.2096
0.364,0.13893,1168.04,11.2099
0.365,0.135962,1166.88,11.2101
0.366,0.133061,1165.71,11.2103
0.367,0.130225,1164.55,11.2106
0.368,0.127452,1163.38,11.2108
0.369,0.124742,1162.22,11.211
0.37,0.122092,1161.06,11.2113
0.371,0.119501,1159.9,11.2115
0.372,0.116968,1158.74,11.2117
0.373,0.114491,1157.59,11.212
0.374,0.112069,1156.43,11.2122
0.375,0.109701,1155.28,11.2124
0.376,0.107386,1154.12,11.2126
0.377,0.105122,1152.97,11.2129
0.378,0.102908,1151.82,11.2131
0.379,0.100743,1150.67,11.2133
0.38,0.0986265,1149.52,11.2135
0.381,0.0965563,1148.37,11.2138
0.382,0.0945318,1147.22,11.214
0.383,0.0925519,1146.07,11.2142
0.384,0.0906155,1144.93,11.2144
0.385,0.0887218,1143.79,11.2147
0.386,0.0868697,1142.64,11.2149
0.387,0.0850582,1141.5,11.2151
0.388,0.0832864,1140.36,11.2153
0.389,0.0815535,1139.22,11.2155
0.39,0.0798584,1138.08,11.2158
0.391,0.0782004,1136.95,11.216
0.392,0.0765786,1135.81,11.2162
0.393,0.0749922,1134.67,11.2164
0.394,0.0734404,1133.54,11.2166
0.395,0.0719223,1132.41,11.2169
0.396,0.0704372,1131.28,11.2171
0.397,0.0689844,1130.15,11.2173
0.398,0.0675631,1129.02,11.2175
0.399,0.0661727,1127.89,11.2177
0.4,0.0648123,1126.76,11.2179
0.401,0.0634814,1125.64,11.2181
0.402,0.0621792,1124.51,11.2184
0.403,0.0609051,1123.39,11.2186
0.404,0.0596585,1122.26,11.2188
0.405,0.0584388,1121.14,11.219
0.406,0.0572453,1120.02,11.2192
0.407,0.0560775,1118.9,11.2194
